编号,类型,域,优先级,状态,Java源文件,Python目标文件,来源文件,说明
M-136,Model,query,P0B,已完成,core/query/DocumentSearchQuery.java,models/query/document_search_query.py,,
M-137,Model,query,P0B,已完成,core/query/PartSearchQuery.java,models/query/part_search_query.py,,
M-138,Model,query,P0B,已完成,core/query/Query.java,models/query/query.py,,
M-139,Model,query,P0B,已完成,core/query/QueryContext.java,models/query/query_context.py,,
M-140,Model,query,P0B,已完成,core/query/QueryField.java,models/query/query_field.py,,
M-141,Model,query,P0B,已完成,core/query/QueryResultRow.java,models/query/query_result_row.py,,
M-142,Model,query,P0B,已完成,core/query/QueryRule.java,models/query/query_rule.py,,
M-143,Model,query,P0B,已完成,core/query/SearchQuery.java,models/query/search_query.py,,
M-144,Model,sharing,P0B,已完成,core/sharing/SharedDocument.java,models/sharing/shared_document.py,,
M-145,Model,sharing,P0B,已完成,core/sharing/SharedEntity.java,models/sharing/shared_entity.py,,
M-146,Model,sharing,P0B,已完成,core/sharing/SharedEntityKey.java,models/sharing/shared_entity_key.py,,
M-147,Model,sharing,P0B,已完成,core/sharing/SharedPart.java,models/sharing/shared_part.py,,
M-148,Model,hooks,P0B,已完成,core/hooks/SNSWebhookApp.java,models/hooks/sns_webhook_app.py,,
M-149,Model,hooks,P0B,已完成,core/hooks/SimpleWebhookApp.java,models/hooks/simple_webhook_app.py,,
M-150,Model,hooks,P0B,已完成,core/hooks/Webhook.java,models/hooks/webhook.py,,
M-151,Model,hooks,P0B,已完成,core/hooks/WebhookApp.java,models/hooks/webhook_app.py,,
M-152,Model,admin,P0B,已完成,core/admin/OperationSecurityStrategy.java,models/admin/operation_security_strategy.py,,
M-153,Model,admin,P0B,已完成,core/admin/PlatformOptions.java,models/admin/platform_options.py,,
M-154,Model,admin,P0B,已完成,core/admin/WorkspaceBackOptions.java,models/admin/workspace_back_options.py,,
M-155,Model,admin,P0B,已完成,core/admin/WorkspaceFrontOptions.java,models/admin/workspace_front_options.py,,
M-156,Model,log,P0B,已完成,core/log/DocumentLog.java,models/log/document_log.py,,
M-157,Model,log,P0B,已完成,core/log/PartLog.java,models/log/part_log.py,,
M-158,Model,log,P0B,已完成,core/log/WorkspaceLog.java,models/log/workspace_log.py,,
M-159,Model,notification,P0B,已完成,core/notification/TagUserGroupSubscription.java,models/notification/tag_user_group_subscription.py,,
M-160,Model,notification,P0B,已完成,core/notification/TagUserSubscription.java,models/notification/tag_user_subscription.py,,
M-161,Model,gcm,P0B,已完成,core/gcm/GCMAccount.java,models/gcm/gcm_account.py,,
M-162,Model,util,P0B,已完成,core/util/AlphanumericComparator.java,models/util/alphanumeric_comparator.py,,
M-163,Model,util,P0B,已完成,core/util/DateUtils.java,models/util/date_utils.py,,
M-164,Model,util,P0B,已完成,core/util/FileIO.java,models/util/file_io.py,,
M-165,Model,util,P0B,已完成,core/util/HashUtils.java,models/util/hash_utils.py,,
M-166,Model,util,P0B,已完成,core/util/NamingConvention.java,models/util/naming_convention.py,,
M-167,Model,util,P0B,已完成,core/util/Tools.java,models/util/tools.py,,
S-001,Service,,P2A,已完成,AccountManagerBean.java,account_manager.py,,
S-002,Service,,P2B,对齐存根,ActivityCheckerInterceptor.java,activity_checker.py,,CDI 拦截器 (@CheckActivity), Python 无等价物
S-003,Service,,P2,已完成,BinaryStorageManagerBean.java,binary_storage.py,,
S-004,Service,,P2B,已激活,CascadeActionManagerBean.java,cascade_action_manager.py,,Batch2 激活: collect_ci_parts 从 products.py 迁入
S-005,Service,,P2,已完成,ChangeManagerBean.java,change_manager.py,,
S-006,Service,,P2B,对齐存根,ContextManagerBean.java,context_manager.py,,Java CDI @RequestScoped 上下文注入, Python Depends 替代
S-007,Service,,P2,已完成,ConverterBean.java,converter.py,,
S-008,Service,,P2,已扩展,DocumentManagerBean.java,document_manager.py,,Batch3+6: +build_revision_dto/update_acl/file_ops/tag_crud/folder等20+方法
S-009,Service,,P2B,已完成,EffectivityManagerBean.java,effectivity_manager.py,,
S-010,Service,,P2,已完成,EntityManagerProducer.java,core/database.py,,
S-011,Service,,P2B,已完成,ImporterBean.java,importer.py,,
S-012,Service,,P2B,已完成,LOVManagerBean.java,lov_manager.py,,
S-013,Service,,P2,已扩展,NotificationManagerBean.java,notification_manager.py,,Batch3+6: +subscribe/unsubscribe + build_notification_dto
S-014,Service,,P2,已接线(间接),NotifierBean.java,notifier.py,,已被 indexer_manager 调用, 非 router 直连
S-015,Service,,P2B,对齐存根,OAuthManagerBean.java,oauth_manager.py,,OAuth 当前未实现
S-016,Service,,P2B,对齐存根,OnDemandConverterBean.java,ondemand_converter.py,,ext 层占位, 从未接入
S-017,Service,,P2B,已激活,OrganizationManagerBean.java,organization_manager.py,,Batch2 激活: 28处内联DB从organizations.py迁入
S-018,Service,,P2B,已完成,PSFilterManagerBean.java,psfilter_manager.py,,
S-019,Service,,P2B,对齐存根,PendingConversionsCleaner.java,pending_conversions_cleaner.py,,Java @Schedule 定时器, Python 需 scheduler 替代
S-020,Service,,P2B,对齐存根,PlatformHealthManagerBean.java,platform_health_manager.py,,platform.py health 端点已覆盖
S-021,Service,,P2B,已激活,PlatformOptionsManagerBean.java,platform_options_manager.py,,Batch2 激活: upsert从admin.py迁入
S-022,Service,,P2,已扩展,ProductManagerBean.java,product_manager.py,,Batch4+6: +publish/update_acl/used_by/templates等18+方法
S-023,Service,,P2B,对齐存根,PublicEntityManagerBean.java,public_entity_manager.py,,publish/unpublish 逻辑已在各 manager 中
S-024,Service,,P2B,已激活,ShareManagerBean.java,share_manager.py,,Batch2 激活: 10处内联DB从share.py迁入
S-025,Service,,P2A,已扩展,TaskManagerBean.java,task_manager.py,,Batch6: +holder解析/worker查询/get_task_dto等8个方法
S-026,Service,,P2,已扩展,UserManagerBean.java,user_manager.py,,Batch6: +group_mgmt/membership/GCM/stats等26个方法
S-027,Service,,P2B,已激活,WebhookManagerBean.java,webhook_manager.py,,Batch2 激活: ORM操作从webhooks.py迁入
S-028,Service,,P2,已扩展,WorkflowManagerBean.java,workflow_manager.py,,Batch6: +enrich_activity_dicts
S-029,Service,,P2B,已扩展,WorkspaceManagerBean.java,workspace_manager.py,,Batch5+6: +admin CRUD/stats/LOV管理等11个方法
S-030,Service,configuration,P2B,已完成,configuration/PSFilterVisitor.java,configuration/ps_filter_visitor.py,,
S-031,Service,configuration,P2B,已完成,configuration/PSFilterVisitorCallbacks.java,configuration/ps_filter_visitor_callbacks.py,,
S-032,Service,configuration,P2B,已完成,configuration/filter/LatestCheckedInPSFilter.java,configuration/latest_checked_in_ps_filter.py,,
S-033,Service,configuration,P2B,已完成,configuration/filter/LatestReleasedPSFilter.java,configuration/latest_released_ps_filter.py,,
S-034,Service,configuration,P2B,已完成,configuration/filter/ReleasedPSFilter.java,configuration/released_ps_filter.py,,
S-035,Service,configuration,P2B,已完成,configuration/filter/UpdatePartIterationPSFilter.java,configuration/update_part_iteration_ps_filter.py,,
S-036,Service,configuration,P2B,已完成,configuration/filter/WIPPSFilter.java,configuration/wip_ps_filter.py,,
S-037,Service,configuration,P2B,已完成,configuration/spec/DateBasedEffectivityConfigSpec.java,configuration/date_based_effectivity_config_spec.py,,
S-038,Service,configuration,P2B,已完成,configuration/spec/EffectivityConfigSpec.java,configuration/effectivity_config_spec.py,,
S-039,Service,configuration,P2B,已完成,configuration/spec/LotBasedEffectivityConfigSpec.java,configuration/lot_based_effectivity_config_spec.py,,
S-040,Service,configuration,P2B,已完成,configuration/spec/ProductBaselineCreationConfigSpec.java,configuration/product_baseline_creation_config_spec.py,,
S-041,Service,configuration,P2B,已完成,configuration/spec/ResolvedCollectionConfigSpec.java,configuration/resolved_collection_config_spec.py,,
S-042,Service,configuration,P2B,已完成,configuration/spec/SerialNumberBasedEffectivityConfigSpec.java,configuration/serial_number_based_effectivity_config_spec.py,,
S-043,Service,events,P2B,对齐存根,events/CheckedIn.java,events/checked_in.py,,CDI 事件系统, Python 无等价物
S-044,Service,events,P2B,对齐存根,events/Created.java,events/created.py,,CDI 事件系统, Python 无等价物
S-045,Service,events,P2B,对齐存根,events/DocumentRevisionEvent.java,events/document_revision_event.py,,CDI 事件系统, Python 无等价物
S-046,Service,events,P2B,对齐存根,events/PartIterationEvent.java,events/part_iteration_event.py,,CDI 事件系统, Python 无等价物
S-047,Service,events,P2B,对齐存根,events/PartRevisionEvent.java,events/part_revision_event.py,,CDI 事件系统, Python 无等价物
S-048,Service,events,P2B,对齐存根,events/Read.java,events/read.py,,CDI 事件系统, Python 无等价物
S-049,Service,events,P2B,对齐存根,events/Removed.java,events/removed.py,,CDI 事件系统, Python 无等价物
S-050,Service,events,P2B,对齐存根,events/TagEvent.java,events/tag_event.py,,CDI 事件系统, Python 无等价物
S-051,Service,events,P2B,对齐存根,events/Tagged.java,events/tagged.py,,CDI 事件系统, Python 无等价物
S-052,Service,events,P2B,对齐存根,events/Untagged.java,events/untagged.py,,CDI 事件系统, Python 无等价物
S-053,Service,events,P2B,对齐存根,events/UserEvent.java,events/user_event.py,,CDI 事件系统, Python 无等价物
S-054,Service,events,P2B,对齐存根,events/UserGroupEvent.java,events/user_group_event.py,,CDI 事件系统, Python 无等价物
S-055,Service,events,P2B,对齐存根,events/WorkspaceAccessEvent.java,events/workspace_access_event.py,,CDI 事件系统, Python 无等价物
S-056,Service,events,P2B,对齐存根,events/WorkspaceEvent.java,events/workspace_event.py,,CDI 事件系统, Python 无等价物
S-057,Service,events,P2B,对齐存根,events/Write.java,events/write.py,,CDI 事件系统, Python 无等价物
S-058,Service,listeners,P2B,对齐存根,listeners/documents/UserFolderManager.java,listeners/user_folder_manager.py,,CDI @Observes 监听器, Python 不走此模式
S-059,Service,listeners,P2B,对齐存根,listeners/notifications/PartNotificationManager.java,listeners/part_notification_manager.py,,CDI @Observes 监听器, Python 不走此模式
S-060,Service,listeners,P2B,对齐存根,listeners/notifications/SubscriptionManager.java,listeners/subscription_manager.py,,CDI @Observes 监听器, Python 不走此模式
S-061,Service,listeners,P2B,对齐存根,listeners/workflow/RoleManager.java,listeners/role_manager.py,,CDI @Observes 监听器, Python 不走此模式
S-062,Service,products,P2B,对齐存根,products/PartWorkflowManagerBean.java,products/part_workflow_manager.py,,零件工作流在 workflow_manager 统一处理
S-063,Service,products,P2B,已完成,products/ProductBaselineManagerBean.java,products/product_baseline_manager.py,,
S-064,Service,products,P2B,已激活,products/ProductInstanceManagerBean.java,products/product_instance_manager.py,,Batch2激活+Batch4扩展: _build_instance_master_dict等迁入
S-065,Service,documents,P2B,已激活,documents/DocumentBaselineManagerBean.java,documents/document_baseline_manager.py,,Batch2 激活: 17处内联DB从document_baselines.py迁入
S-066,Service,documents,P2B,对齐存根,documents/DocumentWorkflowManagerBean.java,documents/document_workflow_manager.py,,文档工作流在 workflow_manager 统一处理
S-067,Service,hooks,P2B,对齐存根,hooks/SNSWebhookRunner.java,hooks/sns_webhook_runner.py,,Java 异步 runner, 标记存根
S-068,Service,hooks,P2B,对齐存根,hooks/SimpleWebhookRunner.java,hooks/simple_webhook_runner.py,,Java 异步 runner, 标记存根
S-069,Service,hooks,P2B,对齐存根,hooks/WebhookRunner.java,hooks/webhook_runner.py,,Java 异步 runner, 标记存根
S-070,Service,indexer,P2A,已完成,indexer/IndexManagerBean.java,indexer/index_manager.py,,
S-071,Service,indexer,P2A,已完成,indexer/IndexerManagerBean.java,indexer/indexer_manager.py,,从 services/indexer_manager.py 拆分 index_manager 逻辑
S-072,Service,indexer,P2A,已完成,indexer/IndexerQueryBuilder.java,indexer/indexer_query_builder.py,,从 services/es_query_builder.py 拆出（或重命名）
S-073,Service,indexer,P2B,已完成,indexer/IndexerResultsMapper.java,indexer/indexer_results_mapper.py,,
S-074,Service,indexer,P2B,已完成,indexer/IndexerTextExtractor.java,indexer/indexer_text_extractor.py,,
S-075,Service,indexer,P2B,已完成,indexer/client/IndexerClientProducer.java,indexer/indexer_client.py,,
S-076,Service,indexer,P2B,已完成,indexer/util/EntityMapper.java,indexer/entity_mapper.py,,
S-077,Service,indexer,P2B,已完成,indexer/util/IndexerMapping.java,indexer/indexer_mapping.py,,
S-078,Service,indexer,P2B,已完成,indexer/util/IndicesUtils.java,indexer/indices_utils.py,,
S-079,Service,storage,P2B,对齐存根,storage/CryptoConverter.java,storage/crypto_converter.py,,加密存储, 当前未启用
S-080,Service,storage,P2B,对齐存根,storage/StorageProvider.java,storage/storage_provider.py,,加密存储, 当前未启用
S-081,Service,storage,P2B,对齐存根,storage/filesystem/FileStorageProvider.java,storage/file_storage_provider.py,,加密存储, 当前未启用
S-082,Service,validation,P2B,已完成,validation/AttributesConsistencyUtils.java,validation/attributes_consistency_utils.py,,
S-083,Service,factory,P2A,已完成,factory/ACLFactory.java,factory/acl_factory.py,,重命名 acl_helper.py → factory/acl_factory.py
S-084,Service,gcm,P2B,对齐存根,gcm/GCMSenderBean.java,gcm/gcm_sender.py,,Google Cloud Messaging, 当前环境不需要
R-001,Router,,P3,已完成,AccountResource.java,accounts.py,,
R-002,Router,,P3,已完成,AdminResource.java,admin.py,,
R-003,Router,,P3B,已完成,AttributesResource.java,attributes.py,,
R-004,Router,,P3,已完成,AuthResource.java,auth.py,,
R-005,Router,,P3,已完成,ChangeIssuesResource.java,change_issues.py,,
R-006,Router,,P3,已完成,ChangeItemsResource.java,change_common.py,,
R-007,Router,,P3,已完成,ChangeOrdersResource.java,change_orders.py,,
R-008,Router,,P3,已完成,ChangeRequestsResource.java,change_requests.py,,
R-009,Router,,P3,已完成,DocumentBaselinesResource.java,document_baselines.py,,
R-010,Router,,P3,已完成,DocumentResource.java,document.py,,
R-011,Router,,P3,已完成,DocumentTemplateResource.java,document_templates.py,,
R-012,Router,,P3,已完成,DocumentsResource.java,documents.py,,
R-013,Router,,P3,已完成,EffectivityResource.java,effectivity.py,,
R-014,Router,,P3B,已完成,FileResource.java,不适用（各子资源直接实现）,,
R-015,Router,,P3,已完成,FolderResource.java,folders.py,,
R-016,Router,,P3B,已完成,LOVResource.java,lov.py,,
R-017,Router,,P3,已完成,LanguagesResource.java,languages.py,,
R-018,Router,,P3,已完成,LayerResource.java,layers.py,,
R-019,Router,,P3,已完成,MilestonesResource.java,milestones.py,,
R-020,Router,,P3,已完成,ModificationNotificationResource.java,notifications.py,,
R-021,Router,,P3,已完成,OrganizationResource.java,organizations.py,,
R-022,Router,,P3B,已完成,PartEffectivityResource.java,effectivity.py（升级）,,
R-023,Router,,P3,已完成,PartResource.java,part.py,,
R-024,Router,,P3,已完成,PartTemplateResource.java,part_templates.py,,
R-025,Router,,P3,已完成,PartsResource.java,parts.py,,
R-026,Router,,P3,已完成,PlatformResource.java,platform.py,,
R-027,Router,,P3,已完成,ProductBaselinesResource.java,product_baselines.py,,
R-028,Router,,P3,已完成,ProductConfigurationsResource.java,product_configurations.py,,
